Index,DOI,Title,Abstract,Study Population
10,10.1371/journal.pone.0287485,Association between total bilirubin/Albumin ratio and all-cause mortality in acute kidney injury patients: A retrospective cohort study,The association between the total bilirubin/albumin (B/A) and the all-cause mortality of critically ill patients with acute kidney injury (AKI) remains unclear. This retrospective study aimed to investigate the relationship between B/A ratio and mortality in patients with AKI.,"The criteria for inclusion in the Acute Kidney Injury Network (AKIN) were as follows: sudden (within 48 h) decline in renal function as evidenced by an absolute increase in serum creatinine >= 0.3 mg/dl (>= 26.4 μmol/l), a percentage increase in serum creatinine >= 50% (1.5 times the baseline), or a decrease in urine output (< 0.5 ml/kg/h for more than 6 h). Adult patients (>=18 years) diagnosed with AKI in the MIMIC-III database with both serum bilirubin and albumin data on record were included in this study. Patients older than 18 years admitted for the first time were selected. The exclusion criteria were as follows: (1) patients not admitted for the first time; (2) ICU admission <48 h; (3) patients with missing total bilirubin and albumin data, and (4) pregnant women and oncology patients."
11,10.1186/s12882-022-02715-9,Central venous pressure and acute kidney injury in critically ill patients with multiple comorbidities: a large retrospective cohort study,"Given the traditional acceptance of higher central venous pressure (CVP) levels, clinicians ignore the incidence of acute kidney injury (AKI). The objective of this study was to assess whether elevated CVP is associated with increased AKI in critically ill patients with multiple comorbidities.","All patients in the database were screened according to the following inclusion criteria for this study: (1) adults (≥18 years of age at ICU admission); (2) ICU stay ≥1 day; and (3) for patients with multiple ICU stays, only the data for the first stay were considered. Patients with censored age, no CVP records, or no creatinine records were excluded."
12,10.1186/s40001-022-00925-3,Early predicting 30-day mortality in sepsis in MIMIC-III by an artificial neural networks model,Early identifying sepsis patients who had higher risk of poor prognosis was extremely important. The aim of this study was to develop an artificial neural networks (ANN) model for early predicting clinical outcomes in sepsis.,"All patients with sepsis (ICD9 code: 99,591) in MIMICIII were enrolled in this study. Exclusion criteria included as follows: patients with missing > 5% individual data and age less than 18."
13,10.21037/apm-22-502,Developing and validating a prediction model for in-hospital mortality in patients with ventilator-associated pneumonia in the ICU,"Ventilator-associated pneumonia (VAP) is a common nosocomial infection in the intensive care unit (ICU), with high in-hospital mortality. Current scoring systems are limited in predicting nosocomial death of VAP. This study aimed to develop and validate a more accurate and effective prediction model for in-hospital mortality in ICU patients with VAP.","Adult individuals diagnosed with VAP were selected from the MIMIC database. Individuals who were missing any information relating to laboratory data, clinical data, or disease severity data were excluded."
14,10.2147/TCRM.S268523,The Association of Red Blood Cell Distribution Width to Platelet Count Ratio and 28-Day Mortality of Patients with Sepsis: A Retrospective Cohort Study,Sepsis is a life-threatening and inflammatory disease with high morbidity and mortality. Red blood cell distribution width to platelet count ratio (RPR) was known as an inflammatory biomarker and was related to poor outcomes of various diseases.,"We conducted the retrospective cohort study on adult patients (age≥18 years) with the diagnosis of sepsis. Patients who were included had a length of stay in ICU of more than one day and less than that of the hospitalization. Sepsis was defined using the criteria of the Sepsis-3 which defines sepsis as infections with two or more points of SOFA scores.16 Patients were excluded when: (1) Repeated hospital admissions were recorded; (2) RPR could not be calculated. Also, we only calculated the RPR of the first ICU admission if the patient had several ICU admissions in one hospitalization."
15,10.1371/journal.pone.0262523,Predicting risk for trauma patients using static and dynamic information from the MIMIC III database,"Risk quantification algorithms in the ICU can provide (1) an early alert to the clinician that a patient is at extreme risk and (2) help manage limited resources efficiently or remotely. With electronic health records, large data sets allow the training of predictive models to quantify patient risk","We used an exclusion criterion consistent with the work of Alistair, where patients were excluded if they were neonatal or pediatric patients (age < 16), presented in the ICU for less than 4 hours, or had a do not resuscitate order. We also excluded patients with more than a single ICU stay per admission and filtered for patients who had external traumatic injury ICD-9 codes to ensure that we were gathering trauma patients;"
16,10.1002/jcla.24006,A trauma-related survival predictive model of acute respiratory distress syndrome,The purpose of this study was to construct and validate a simple model for the prediction of survival in patients with trauma-related ARDS.,"The inclusion criteria for this study were as follows: (1) age older than 18 years; (2) patients transferred to the ICU; (3) patients who underwent surgery or experienced trauma (ICD-9 code, 5185 [pulmonary insufficiency following trauma and surgery]); and (4) patients with ARDS that met the criteria in the Berlin definition for ARDS. The criteria for ARDS included acute onset, partial pressure of oxygen (PaO2)/fraction of inspired oxygen (FiO2) ≤300 mmHg, bilateral infiltrates on chest  radiograph, and absence of heart failure. Mild, moderate, and severe ARDS were classified based on the PaO2/FiO2 ratios of the patients. Pregnant women or perinatal patients transferred to the ICU due to trauma or surgery were excluded from this study. For patients with multiple ICU stays, only data related to the first ICU admission were considered."
17,10.3389/fcvm.2022.1024484,Postoperative anion gap associates with short- and long-term mortality after cardiac surgery: A large-scale cohort study,To investigate whether postoperative anion gap (AG) is associated with short- and long-term mortality in patients following cardiac surgery.,"According to the ICD-9-CM codes, patients who underwent on-pump cardiac surgery were included from all patients in the MIMIC-III database. We only used the data from patients’ first ICU admission. Patients who missed ICU data were excluded. Patients with age < 18, and those who missed AG data at ICU admission or length of ICU stay < 24 h were also excluded."
18,10.1136/bmjopen-2020-046623,"Association between body mass index and short-term mortality in patients with intra-abdominal infections: a retrospective, single-centre cohort study using the Medical Information Mart for Intensive Care database",This study aimed to determine the relationship between the body mass index (BMI) and short-term mortality of patients with intra-abdominal infection (IAI) using the Medical Information Mart for Intensive Care (MIMIC-III) database.,"There is no specific IAI diagnosis in ICD-9 coding; therefore, we included all the possible diagnoses related to IAIs in ICD- 9 into our study cohort. For patients who had multiple ICU admissions, only the first admission record was kept. The exclusion criteria were as follows: (1) those under 18 years old and (2) missing weight data."
19,10.1186/s12879-023-08142-x,Norepinephrine combined with phenylephrine versus norepinephrine in patients with septic shock: a retrospective cohort study,"Phenylephrine (PE) and norepinephrine (NE) may be used to maintain adequate blood pressure and tissue perfusion in patients with septic shock, but the effect of NE combined with PE (NE-PE) on mortality remains unclear. We hypothesized that NE-PE would not inferior to NE alone for all-cause hospital mortality in patients with septic shock.","The inclusion and exclusion criteria were as follows: diagnosed with the code of the ICD-9 (78,552); only first ICU admissions; only patients treated with NE or NE-PE; only lengths of stay (LOSs) in an ICU exceeding 24 h; and only adult patients."
20,10.1186/s12893-022-01625-9,Association between delta anion gap and hospital mortality for patients in cardiothoracic surgery recovery unit: a retrospective cohort study,High level of anion gap (AG) was associated with organic acidosis. This study aimed to explore the relationship between delta AG(ΔAG = AGmax - AGmin) during first 3 days after intensive care unit (ICU) admission and hospital mortality for patients admitted in the cardiothoracic surgery recovery unit (CSRU).,The selection criteria were as follows: (1) Adults patients (age ≥ 18 years); (2) patients admitted in CSRU; (3) Only first ICU admission was eligible; (4) ICU LOS > 1. The exclusion criteria were: (1) without AG data in ICU admission; (2) individual data missing > 5%; (3) patients who died during ICU stay.
21,10.3389/fmed.2021.662340,Machine Learning Prediction Models for Mechanically Ventilated Patients: Analyses of the MIMIC-III Database,"Mechanically ventilated patients in the intensive care unit (ICU) have high mortality rates. There are multiple prediction scores, such as the Simplified Acute Physiology Score II (SAPS II), Oxford Acute Severity of Illness Score (OASIS), and SOFA, widely used in the general ICU population. We aimed to establish prediction scores on mechanically ventilated patients with the combination of these disease severity ",Adult ICU patients treated with invasive mechanical ventilation during ICU stay were included. Subjects aged younger than 18 years or older than 90 years or who lack information on the outcome measure were excluded.
22,10.1186/s12911-021-01690-9,Understanding the complexity of sepsis mortality prediction via rule discovery and analysis: a pilot study,"Sepsis, defined as life-threatening organ dysfunction caused by a dysregulated host response to infection, has become one of the major causes of death in Intensive Care Units (ICUs). The heterogeneity and complexity of this syndrome lead to the absence of golden standards for its diagnosis, treatment, and prognosis. The early prediction of in-hospital mortality for sepsis patients is not only meaningful to medical decision making, but more importantly, relates to the well-being of patients.","The patient inclusion criteria of our cohort are: (i) age ≥ 16 ; (ii) only has one hospital admission record and one ICU admission record; (iii) with ICD-9 code of 99591 for sepsis, 99592 for severe sepsis, or 78552 for septic shock"
23,10.1177/10760296221121286,Association of Red Blood Cell Distribution Width-Albumin Ratio for Acute Myocardial Infarction Patients with Mortality: A Retrospective Cohort Study,Red blood cell distribution width (RDW) was a risk factor for poor prognosis in acute myocardial infarction (AMI). Recent reports suggested that combining RDW with other laboratory metrics could provide a better prediction. This retrospective study aimed to investigate whether the RDW-albumin ratio (RAR) may be associated with mortality after an AMI.,"We enrolled adult patients (over 16 years old) with AMI. According to the ICD-9 code, AMI was defined from 410.00 to 410.92. For patients with multiple hospitalizations, only data of initial admission were used."
24,10.3389/fendo.2022.892811,Association Between Iron Metabolism and Acute Kidney Injury in Critically Ill Patients With Diabetes,Iron overload plays an important role in the pathogenesis of diabetes and acute kidney injury (AKI). The aim of this present study was to explore the relationship between iron metabolism and AKI in patients with diabetes.,"The inclusion criteria were as follows: (1) patients diagnosed with diabetes, (2) serum creatinine (Scr) levels were measured at least twice within 7 days, and (3) follow-up for at least 6 months after the diagnosis of AKI. The exclusion criteria were as follows: (1) age <18 years old, (2) stage 5 CKD or regular RRT, and (3) patients with missing important baseline clinical data."
25,10.1002/ehf2.12939,Association between base excess and mortality in patients with congestive heart failure,"The relationship between baseline base excess (BE) and survival outcomes in patients with congestive heart failure (CHF) is unclear. Therefore, we aimed to investigate this relationship based on the Multiparameter Intelligent Monitoring in Intensive Care III (MIMIC-III) database (v1.4).","We included adult patients (≥18 years) with CHF at first ICU admission from the database on the basis of the ICD-9 disease code [4280–4289 and 39891: 4280 = CHF, unspecified; 4281 = left heart failure; 4282 = systolic heart failure; 4283 = diastolic heart failure; 4284 = combined systolic and diastolic heart failure; 4289 = heart failure, unspecified; 39891 = rheumatic heart failure (congestive)]. The exclusion criteria were as follows: (i) non-adult patients; (ii) absence of CHF; and (iii) missing baseline BE value at ICU admission."
26,10.2147/COPD.S244020,Association Between Comorbid Chronic Obstructive Pulmonary Disease and Prognosis of Patients Admitted to the Intensive Care Unit for Non-COPD Reasons: A Retrospective Cohort Study,"Chronic obstructive pulmonary disease (COPD) is a rather common comorbid condition among patients admitted to the intensive care unit (ICU), while evidence of how this comorbidity affects prognosis is limited. This study aimed to investigate the associations between COPD comorbidity and prognoses of patients who were admitted to the ICU for non-COPD reasons, and to examine whether the associations varied between different types of ICU.","All the adult (≥18 years) patients were considered to be enrolled as study participants, but only those of the first ICU admission in the first hospitalization were chosen if they had more than one admission record in the database. We excluded patients whose lengths of first ICU stay were less than 24 hours and whose primary diagnosis were COPD. To avoid potential typos in the original data, we excluded patients whose lengths of hospital stay were shorter than the lengths of ICU stay. "
27,10.1186/s12879-023-08054-w,Influence of systolic blood pressure trajectory on in-hospital mortality in patients with sepsis,"Numerous studies have investigated the mean arterial pressure in patients with sepsis, and many meaningful results have been obtained. However, few studies have measured the systolic blood pressure (SBP) multiple times and established trajectory models for patients with sepsis with different SBP trajectories.","The diagnosis of sepsis was according to sepsis-3. The exclusion criteria were (1) age < 18 years, (2) blood pressure not measured ten times after admission, or (3) a single hospital stay lasting longer than 90 days."
28,10.3389/fcvm.2022.871031,Systemic Inflammation Response Index Is a Promising Prognostic Marker in Elderly Patients With Heart Failure: A Retrospective Cohort Study,"Heart failure (HF) is a clinical syndrome caused by ventricular dysfunction, which leads to the decline of activity tolerance and repeated hospitalization, which seriously affects the quality of life and is the main cause of death of the elderly. It has long been observed that the pathophysiological mechanism of HF is associated with systemic inflammation. This study aims to explore the association between the systemic inflammation response index (SIRI), a novel biomarker of inflammation, and outcomes in elderly patients with HF.","HF patients were identified by the ICD-9 code. We only included data for patients aged ≥ 60 years in the first ICU or hospital admission. The exclusion criteria were: (1) length of ICU or hospital stay was <24 h, or (2) missing key data."
29,10.2196/23401,A Machine Learning-Based Algorithm for the Prediction of Intensive Care Unit Delirium (PRIDE): Retrospective Study,This study aims to develop and validate a delirium prediction model within 24 hours of admission to the ICU using electronic health record data. The algorithm was named the Prediction of ICU Delirium (PRIDE).,We only included patients who were 18 years or older at the time of admission and who stayed in the medical or surgical ICU. Patients were excluded if they lacked a Confusion Assessment Method for the ICU (CAM-ICU) record from the day of ICU admission or if they had a positive CAM-ICU record at the time of ICU admission.
30,10.2147/COPD.S289920,Association Between Blood Eosinophils and Mortality in Critically Ill Patients with Acute Exacerbation of Chronic Obstructive Pulmonary Disease: A Retrospective Cohort Study,To explore the relationship between the blood eosinophil concentrations in the early stage and mortality in critically ill patients with acute exacerbation of chronic obstructive pulmonary disease.,"The information of all patients with AECOPD was extracted from the MIMIC-III database. AECOPD was defined as an acute worsening of respiratory symptoms that results in additional therapy.14 The patients who lacked basic information and the data of blood eosinophil concentrations were excluded. Because the aim of this study was to explore the relationship between the value of blood eosinophil concentrations in the early stage of acute exacerbation, only the patients with measurement time between 24 hours before admission and 24 hours after admission were included."
31,10.1016/S2589-7500(21)00022-4,Performance of intensive care unit severity scoring systems across different ethnicities in the USA: a retrospective observational study,"Despite wide use of severity scoring systems for case-mix determination and benchmarking in the intensive care unit (ICU), the possibility of scoring bias across ethnicities has not been examined. Guidelines on the use of illness severity scores to inform triage decisions for allocation of scarce resources, such as mechanical ventilation, during the current COVID-19 pandemic warrant examination for possible bias in these models. We investigated the performance of the severity scoring systems Acute Physiology and Chronic Health Evaluation IVa (APACHE IVa), Oxford Acute Severity of Illness Score (OASIS), and SOFA across four ethnicities in two large ICU databases to identify possible ethnicity-based bias.","The ethnicities included in the analyses were Black, Asian, Hispanic, and White. Native American people were excluded due to the much smaller sample size compared with the other ethnicities. Patient episodes with a nonspecific or unknown ethnicity category were excluded. Patients with missing survival data, erroneous or missing prediction scores, missing ethnicity data, and those younger than 16 years or older than 90 years were excluded from the analyses"
32,10.3389/fsurg.2022.801708,Blood Urea Nitrogen-to-Albumin Ratio in Predicting Long-Term Mortality in Patients Following Coronary Artery Bypass Grafting: An Analysis of the MIMIC-III Database,This study examined the role of blood urea nitrogen-to-albumin ratio (BAR) in predicting long-term mortality in patients undergoing coronary artery bypass grafting (CABG).,Patients from MIMIC-III database were included who underwent CABG according to ICD-9 code. The exclusion criteria were as follows: (1) patients with more than one ICU admissions; (2) either BUN or albumin values were absent at admission; (3) patients in the metavision system.
33,10.1038/s41598-023-41965-x,Development of a nomogram model for the early prediction of sepsis-associated acute kidney injury in critically ill patients,"Sepsis?associated acute kidney injury is a common complication of sepsis, but it is difficult to predict sepsis?associated acute kidney injury.","The research subjects met the following criteria: (1) all the research objects met the diagnostic criteria of sepsis 3.028, sepsis was defined as life-threatening organ dysfunction caused by a dysregulated host response to infection, and organ dysfunction was represented by an increase in the SOFA score of 2 points or more; (2) the included patients were at least 18 years old; (3) the length of ICU stay of the included patients was longer than 24 h. Research subjects were excluded based on the following criteria: (1) patients had a history of chronic renal disease or renal dysfunction before the onset of sepsis that had happened this time in our study; (2) patients who did not meet the diagnostic criteria for sepsis 3.0; (3) the patients were under 18 years of age; (4) patients with a length of ICU stay less than 24 h."
34,10.1155/2021/6612276,Admission Serum Ionized and Total Calcium as New Predictors of Mortality in Patients with Cardiogenic Shock,"Although serum calcium has been proven to be a predictor of mortality in a wide range of diseases, its prognostic value in critically ill patients with cardiogenic shock (CS) remains unknown. This retrospective observational study is aimed at investigating the association of admission calcium with mortality among CS patients.","We included all ICU patients (aged ≥ 18 years) with the primary diagnosis of CS using ICD-9 diagnosis codes (ICD-9 codes: 785.51) in the MIMIC-III database. Only the data of each patient’s first ICU admission were used in this study. Patients were excluded if they had (1) a secondary diagnosis of hepatic dysfunction, renal failure, acute or chronic pancreatitis, parathyroid diseases, or malignancy on admission; (2) a length of stay in the ICU less than 24 hours; (3) incomplete or unobtainable data of serum iCa and tCa measured during the first 24 hours admission; (4) incomplete follow-up information; or (5) more than 10% of individual data missing."
35,10.2147/IJGM.S349722,Predictive Value of Blood Urea Nitrogen to Albumin Ratio in Long-Term Mortality in Intensive Care Unit Patients with Acute Myocardial Infarction: A Propensity Score Matching Analysis,"Blood urea nitrogen to albumin ratio (BAR) has been implicated in predicting outcomes of various inflammatory-related diseases. However, the predictive value of BAR in long-term mortality in patients with acute myocardial infarction (AMI) has not yet been evaluated.","According to the ICD-9 diagnosis codes (410.00–410.92), all intensive care unit (ICU) patients in the database diagnosed with AMI were included. And patients were excluded according to: (1) patients with repeated ICU admissions; (2) either BUN or albumin values missing at admission; (3) less than 24 hours of ICU stay; (4) patients in the metavision system."
36,10.1155/2021/5595042,Prognostic Value of Blood Urea Nitrogen/Creatinine Ratio for Septic Shock: An Analysis of the MIMIC-III Clinical Database,"Research has previously been done into the risk factors for mortality in septic shock patients. However, there has been no epidemiological study investigating the effect of the blood urea nitrogen/creatinine ratio (BCR) on the prognosis of critically ill septic shock patients. This study is aimed at determining the relationship between BCR and all-cause mortality in adult septic shock patients.","Inclusion criteria included (1) patients over 18 years old, (2) patients diagnosed with septic shock according to the ICD-9 which is 785.52, and (3) patients who were hospitalized for the first time in the ICU for more than 2 days. Exclusion criteria included (1) BUN and Cr levels not measured during ICU hospitalization and (2) an individual data loss exceeding 5%. (More than 5% of the patient’s clinical research information is missing.)"
37,10.1186/s12872-021-02275-0,Admission white blood cell count predicts post-discharge mortality in patients with acute aortic dissection: data from the MIMIC-III database,Inflammation underlies both the pathogenesis and prognosis in patients with acute aortic dissection (AAD). This study aimed to assess the association of ICU admission of white blood cell count (WBCc) with post-discharge mortality in these patients.,"We included patients with AAD including both Stanford type A and type B based on the ICD-9 code in MIMIC-III database. Of these patients, we excluded those including: (1) For the adult study and avoiding more confounding factors, patients aged < 18 years or > 80 years were excluded; (2) patients who had a clear etiology, such as Marfan syndrome, iatrogenic aortic dissection (AD) secondary to cardiac surgery, a history of surgery for AD, or chronic AD; (3) no WBCc data; (4) missing individual data including demographics, laboratory tests, comorbidities, etc. more than 5%."
38,10.2147/IJGM.S330752,Association Between Obstructive Sleep Apnea and Reduced Mortality in Critically Ill Patients: A Propensity Score-Based Analysis,"The impact of obstructive sleep apnea (OSA) on the prognosis of intensive care unit (ICU) patients remains controversial. Thus, this study aimed to determine the association between OSA status and outcomes in ICU patients.","Adult patients (aged 18 years or above) were included in this study. Critically ill patients diagnosed with OSA were extracted from the Medical Information Mart for MIMIC-III database using the ICD-9 codes (code = “32,723”). For patients who were admitted to the ICU more than once, only data related to the first ICU admission was considered."
39,10.3389/fmed.2020.609769,Development and Validation of a Sepsis Mortality Risk Score for Sepsis-3 Patients in Intensive Care Unit,"Many severity scores are widely used for clinical outcome prediction for critically ill patients in the intensive care unit (ICU). However, for patients identified by sepsis-3 criteria, none of these have been developed. This study aimed to develop and validate a risk stratification score for mortality prediction in sepsis-3 patients.","We included adult patients admitted to the ICU with sepsis. Sepsis was identified based on sepsis-3 criteria, which included suspected infection and a SOFA score ≥ 2 (1). We excluded the following patients: (1) non-adults (<16 years old), (2) multiple admissions, (3) receiving cardiothoracic surgical service (their postoperative physiologic derangements or not translating to the same mortality risk as others), (4) with metastatic cancer (inflammatory and immune response different from others); (5) with suspected infection more than 24 h before or after ICU admission (patients admitted to ICU with sepsis), and (6) missing important data (demographics, variables for calculating traditional severity scores)."
40,10.3389/fmed.2023.1047933,Association and prediction of red blood cell distribution width to albumin ratio in all-cause mortality of acute kidney injury in critically ill patients,"The progression of acute kidney injury (AKI) might be associated with systemic inflammation. Our study aims to explore the association and predictive value of the red blood cell distribution width (RDW) to human serum albumin (ALB) ratio (RDW/ALB ratio), an inflammation-related indicator, in the risk of all-cause mortality and renal replacement therapy (RRT) in AKI patients admitted in intensive care units (ICU).","Participants who were aged ≥18 years, met the diagnosis of AKI, and were hospitalized in the ICU within 48 h of first admission (considering one of the AKI definitions was evaluated within 48 h) were included in this study. Participants missing data on ALB and RDW were excluded from this study. The participants were followed up until death after ICU admission. AKI was defined as an increase of serum creatinine (SCr) level by ≥ 0.3 mg/dl (≥ 26.5 μmol/l) within 48 h or an increase of SCr to ≥ 1.5 times the baseline, which was known or presumed to have occurred within the prior 7 days, or urine volume < 0.5 ml/kg/h for 6 h based on the Kidney Disease: Improving Global Outcomes (KDIGO)."
41,10.1111/cts.13445,Relationship between blood glucose levels and length of hospital stay in patients with acute pancreatitis: An analysis of MIMIC-III database,We aimed to investigate the effect of blood glucose levels on length of stay (LOS) in patients hospitalized with acute pancreatitis (AP).,"Patients age ≥ 18 years and diagnosed with AP were retrieved based on the ICD-9, code 5770. We used the following exclusion criteria: (1) patients who lacked serum glucose information with 24 h of admission, and (2) patients who had been hospitalized for less than 24 h."
42,10.1002/jcla.24423,Red blood cell distribution width-to-albumin ratio is associated with all-cause mortality in cancer patients,"Cancer causes a serious health burden on patients worldwide. Chronic low-level inflammation plays a key role in tumorigenesis and prognosis. However, the role of the red blood cell distribution width (RDW)-to-albumin (RA) ratio in cancer mortality remains unclear.","Patients were included in the study if they: (1) were diagnosed with cancer based on the ICD-9; (2) were aged ≥16 years; and (3) only had one ICU admission  during the study period. Conversely, subjects who had more than 10% of the data missing and those with a length of hospital stay <24 h were excluded from the study."
43,10.1097/CCE.0000000000000960,Negativity and Positivity in the ICU: Exploratory Development of Automated Sentiment Capture in the Electronic Health Record,To develop proof-of-concept algorithms using alternative approaches to capture provider sentiment in ICU notes.,"We included patients greater than or equal to 18 years with greater than or equal to one ICU note from prespecified categories: physician, general, consult, nursing, respiratory, rehabilitation, and nutrition."
